               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.045874,            0.023995,           0.0098054,             0.90508,             0.78256,             0.85005,             0.61253,            0.035688,            0.016852,             0.00781,            0.007927,            0.007927,            0.007927
                  36,            0.045936,            0.024069,           0.0098239,             0.90488,             0.78475,             0.85048,             0.61321,            0.035658,            0.016837,           0.0077943,            0.007816,            0.007816,            0.007816
                  37,            0.045801,            0.023944,           0.0098009,             0.90569,             0.78458,             0.85119,             0.61365,             0.03563,            0.016824,           0.0077798,           0.0077031,           0.0077031,           0.0077031
                  38,             0.04574,            0.023966,           0.0097569,             0.91083,             0.78153,             0.85181,              0.6144,            0.035602,            0.016802,           0.0077693,           0.0075886,           0.0075886,           0.0075886
                  39,            0.045617,            0.023955,            0.009723,             0.89399,             0.79284,             0.85188,             0.61517,            0.035575,            0.016788,           0.0077534,           0.0074725,           0.0074725,           0.0074725
                  40,            0.045586,            0.023755,           0.0097351,               0.899,             0.79102,             0.85249,             0.61574,            0.035551,             0.01677,           0.0077434,            0.007355,            0.007355,            0.007355
                  41,            0.045509,            0.023798,           0.0096767,             0.90513,              0.7885,             0.85308,             0.61603,            0.035529,            0.016756,           0.0077319,           0.0072361,           0.0072361,           0.0072361
                  42,            0.045485,            0.023758,            0.009657,             0.90749,             0.78791,             0.85356,             0.61687,             0.03551,            0.016741,           0.0077199,            0.007116,            0.007116,            0.007116
                  43,            0.045483,            0.023804,           0.0096252,             0.90175,             0.79131,             0.85374,              0.6178,             0.03549,            0.016726,           0.0077062,           0.0069948,           0.0069948,           0.0069948
                  44,            0.045367,            0.023675,           0.0095821,             0.90059,             0.79331,             0.85389,             0.61848,            0.035466,            0.016709,           0.0076904,           0.0068726,           0.0068726,           0.0068726
